# KS X 1001 Ideographs (4,620)
00004E00	uni4E00-JP
00004E01	uni4E01-CN
00004E03	uni4E03-CN
00004E07	uni4E07-CN
00004E08	uni4E08-CN
00004E09	uni4E09-JP
00004E0A	uni4E0A-JP
00004E0B	uni4E0B-JP
00004E0D	uni4E0D-CN
00004E11	uni4E11-JP
00004E14	uni4E14-CN
00004E15	uni4E15-CN
00004E16	uni4E16-JP
00004E18	uni4E18-JP
00004E19	uni4E19-CN
00004E1E	uni4E1E-JP
00004E2D	uni4E2D-CN
00004E32	uni4E32-CN
00004E38	uni4E38-JP
00004E39	uni4E39-JP
00004E3B	uni4E3B-CN
00004E42	uni4E42-JP
00004E43	uni4E43-JP
00004E45	uni4E45-CN
00004E4B	uni4E4B-JP
00004E4D	uni4E4D-CN
00004E4E	uni4E4E-CN
00004E4F	uni4E4F-JP
00004E56	uni4E56-JP
00004E58	uni4E58-CN
00004E59	uni4E59-CN
00004E5D	uni4E5D-JP
00004E5E	uni4E5E-CN
00004E5F	uni4E5F-CN
00004E6B	uni4E6B-CN
00004E6D	uni4E6D-CN
00004E73	uni4E73uE0101-JP
00004E76	uni4E76-KR
00004E77	uni4E77-KR
00004E7E	uni4E7E-JP
00004E82	uni4E82-JP
00004E86	uni4E86-JP
00004E88	uni4E88-CN
00004E8B	uni4E8B-CN
00004E8C	uni4E8C-CN
00004E8E	uni4E8E-CN
00004E90	uni4E90-KR
00004E91	uni4E91-JP
00004E92	uni4E92-JP
00004E94	uni4E94-JP
00004E95	uni4E95-CN
00004E98	uni4E98-JP
00004E9B	uni4E9B-CN
00004E9E	uni4E9E-JP
00004EA1	uni4EA1-JP
00004EA2	uni4EA2-JP
00004EA4	uni4EA4-JP
00004EA5	uni4EA5-JP
00004EA6	uni4EA6-JP
00004EA8	uni4EA8-JP
00004EAB	uni4EAB-JP
00004EAC	uni4EAC-JP
00004EAD	uni4EAD-JP
00004EAE	uni4EAE-JP
00004EB6	uni4EB6-JP
00004EBA	uni4EBA-JP
00004EC0	uni4EC0-CN
00004EC1	uni4EC1-CN
00004EC4	uni4EC4-JP
00004EC7	uni4EC7-CN
00004ECA	uni4ECA-JP
00004ECB	uni4ECB-JP
00004ECD	uni4ECD-JP
00004ED4	uni4ED4-JP
00004ED5	uni4ED5-CN
00004ED6	uni4ED6-CN
00004ED7	uni4ED7-CN
00004ED8	uni4ED8-CN
00004ED9	uni4ED9-JP
00004EDD	uni4EDD-JP
00004EDF	uni4EDF-CN
00004EE3	uni4EE3-CN
00004EE4	uni4EE4-JP
00004EE5	uni4EE5-JP
00004EF0	uni4EF0-JP
00004EF2	uni4EF2-CN
00004EF6	uni4EF6-CN
00004EF7	uni4EF7-JP
00004EFB	uni4EFB-CN
00004F01	uni4F01-JP
00004F09	uni4F09-JP
00004F0A	uni4F0A-CN
00004F0B	uni4F0B-JP
00004F0D	uni4F0D-JP
00004F0E	uni4F0E-JP
00004F0F	uni4F0F-CN
00004F10	uni4F10-CN
00004F11	uni4F11-CN
00004F2F	uni4F2F-CN
00004F34	uni4F34uE0101-JP
00004F36	uni4F36-JP
00004F38	uni4F38-JP
00004F3A	uni4F3A-CN
00004F3C	uni4F3C-JP
00004F3D	uni4F3D-CN
00004F43	uni4F43-CN
00004F46	uni4F46-CN
00004F47	uni4F47-JP
00004F48	uni4F48-JP
00004F4D	uni4F4D-JP
00004F4E	uni4F4E-JP
00004F4F	uni4F4F-JP
00004F50	uni4F50-JP
00004F51	uni4F51-CN
00004F55	uni4F55-CN
00004F59	uni4F59-JP
00004F5A	uni4F5A-CN
00004F5B	uni4F5B-JP
00004F5C	uni4F5C-CN
00004F69	uni4F69-CN
00004F6F	uni4F6F-JP
00004F70	uni4F70-CN
00004F73	uni4F73-CN
00004F76	uni4F76-CN
00004F7A	uni4F7A-JP
00004F7E	uni4F7E-JP
00004F7F	uni4F7F-CN
00004F81	uni4F81-JP
00004F83	uni4F83-CN
00004F84	uni4F84-JP
00004F86	uni4F86-JP
00004F88	uni4F88-JP
00004F8A	uni4F8A-JP
00004F8B	uni4F8B-JP
00004F8D	uni4F8D-CN
00004F8F	uni4F8F-CN
00004F91	uni4F91-CN
00004F96	uni4F96-JP
00004F98	uni4F98-JP
00004F9B	uni4F9B-CN
00004F9D	uni4F9D-JP
00004FAE	uniFA30-JP
00004FAF	uni4FAF-JP
00004FB5	uni4FB5uE0101-JP
00004FB6	uni4FB6-JP
00004FBF	uni4FBF-CN
00004FC2	uni4FC2-JP
00004FC3	uni4FC3-CN
00004FC4	uni4FC4-CN
00004FC9	uni4FC9-JP
00004FCA	uni4FCA-JP
00004FCE	uni4FCE-CN
00004FD1	uni4FD1-CN
00004FD3	uni4FD3-JP
00004FD4	uni4FD4-JP
00004FD7	uni4FD7-JP
00004FDA	uni4FDA-CN
00004FDD	uni4FDD-CN
00004FDF	uni4FDF-JP
00004FE0	uni4FE0-JP
00004FE1	uni4FE1-JP
00004FEE	uni4FEE-JP
00004FEF	uni4FEF-JP
00004FF1	uni4FF1-CN
00004FF3	uni4FF3-JP
00004FF5	uni4FF5-JP
00004FF8	uni4FF8-JP
00004FFA	uni4FFA-JP
00005002	uni5002-KR
00005006	uni5006-JP
00005009	uni5009-JP
0000500B	uni500B-JP
0000500D	uni500D-JP
00005011	uni5011-JP
00005012	uni5012-JP
00005016	uni5016-JP
00005019	uni5019-JP
0000501A	uni501A-CN
0000501C	uni501C-CN
0000501E	uni501E-JP
0000501F	uni501F-JP
00005021	uni5021-CN
00005023	uni5023-JP
00005024	uni5024-JP
00005026	uni5026-JP
00005027	uni5027-JP
00005028	uni5028-CN
0000502A	uni502A-JP
0000502B	uni502B-JP
0000502C	uni502C-CN
0000502D	uni502D-JP
0000503B	uni503B-JP
00005043	uni5043-JP
00005047	uni5047-CN
00005048	uni5048-JP
00005049	uni5049uE0101-JP
0000504F	uni504FuE0101-JP
00005055	uni5055-JP
0000505A	uni505A-CN
0000505C	uni505C-JP
00005065	uni5065-JP
00005074	uni5074-JP
00005075	uni5075-JP
00005076	uni5076-CN
00005078	uni5078-JP
00005080	uni5080-JP
00005085	uni5085-CN
0000508D	uni508D-JP
00005091	uni5091uE0101-JP
00005098	uni5098-JP
00005099	uni5099-JP
000050AC	uni50AC-JP
000050AD	uni50AD-JP
000050B2	uni50B2-JP
000050B3	uni50B3-JP
000050B5	uni50B5-JP
000050B7	uni50B7-JP
000050BE	uni50BE-JP
000050C5	uni50C5-JP
000050C9	uni50C9-JP
000050CA	uni50CAuE0101-JP
000050CF	uni50CF-JP
000050D1	uni50D1-JP
000050D5	uni50D5-JP
000050D6	uni50D6-JP
000050DA	uni50DA-CN
000050DE	uni50DE-JP
000050E5	uni50E5-JP
000050E7	uniFA31-JP
000050ED	uni50EDuE0101-JP
000050F9	uni50F9-JP
000050FB	uni50FB-JP
000050FF	uni50FF-JP
00005100	uni5100-JP
00005101	uni5101-JP
00005104	uni5104-JP
00005106	uni5106-CN
00005109	uni5109-JP
00005112	uni5112-CN
0000511F	uni511F-JP
00005121	uni5121-JP
0000512A	uni512A-JP
00005132	uni5132-JP
00005137	uni5137-JP
0000513A	uni513A-JP
0000513C	uni513C-JP
00005140	uni5140-JP
00005141	uni5141-JP
00005143	uni5143-CN
00005144	uni5144-CN
00005145	uni5145-JP
00005146	uni5146-CN
00005147	uni5147-JP
00005148	uni5148-CN
00005149	uni5149-JP
0000514B	uni514B-CN
0000514C	uni514C-JP
0000514D	uni514D-CN
0000514E	uni514E-JP90-JP
00005152	uni5152-JP
0000515C	uni515C-JP
00005162	uni5162-JP
00005165	uni5165-JP
00005167	uni5167-JP
00005168	uni5168uE0101-JP
00005169	uni5169-JP
0000516A	uni516A-JP
0000516B	uni516B-JP
0000516C	uni516CuE0101-JP
0000516D	uni516D-JP
0000516E	uni516E-JP
00005171	uni5171-CN
00005175	uni5175-JP
00005176	uni5176-CN
00005177	uni5177uE0101-JP
00005178	uni5178-CN
0000517C	uni517CuE0101-JP
00005180	uni5180-JP
00005186	uni5186-JP
0000518A	uni518A-JP
0000518D	u2F815-JP
00005192	uni5192-CN
00005195	uni5195-CN
00005197	uni5197-CN
000051A0	uni51A0-CN
000051A5	uni51A5-JP
000051AA	uni51AA-JP
000051AC	u2F81A-JP
000051B6	uni51B6-JP
000051B7	uni51B7-JP
000051BD	uni51BD-JP
000051C4	uni51C4-JP
000051C6	uni51C6-JP
000051C9	uni51C9-JP
000051CB	uni51CB-JP
000051CC	uni51CC-JP
000051CD	uni51CD-JP
000051DC	uni51DC-JP
000051DD	uni51DD-JP
000051DE	uniFA15-JP
000051E1	uni51E1-CN
000051F0	uni51F0-CN
000051F1	uni51F1-JP
000051F6	uni51F6-JP
000051F8	uni51F8-JP
000051F9	uni51F9-JP
000051FA	uni51FA-JP
000051FD	uni51FD-JP
00005200	uni5200-CN
00005203	uni5203uE0101-JP
00005206	uni5206uE0101-JP
00005207	uni5207-JP
00005208	uni5208-CN
0000520A	uni520A-CN
0000520E	uni520E-CN
00005211	uni5211-CN
00005217	uni5217-JP
0000521D	uni521D-JP
00005224	uni5224uE0101-JP
00005225	uni5225-JP
00005229	uni5229-JP
0000522A	uni522A-JP
0000522E	uni522E-CN
00005230	uni5230-JP
00005236	uni5236-CN
00005237	uni5237-JP
00005238	uni5238uE0101-JP
00005239	uni5239-JP
0000523A	uni523A-JP
0000523B	uni523B-JP
00005243	uni5243-JP
00005247	uni5247-JP
0000524A	uni524AuE0101-JP
0000524B	uni524B-JP
0000524C	uni524C-CN
0000524D	uni524D-CN
00005254	uni5254-CN
00005256	uni5256-JP
