	JP	KR	CN	TW	HK
U+4E00	_	JP	JP	JP	JP
U+4E01	CN	CN	_	CN	CN
U+4E02	_	JP#	_	CN#	CN#
U+4E03	CN	CN	_	_	CN
U+4E04	_	JP#	JP	JP#	JP
U+4E05	_	JP#	JP	JP#	JP#
U+4E06	CN	CN#	_	CN#	CN#
U+4E07	CN	CN	_	CN	CN
U+4E08	CN	CN	_	CN	CN
U+4E09	_	JP	JP	JP	JP
U+4E0A	_	JP	JP	JP	JP
U+4E0B	_	JP	JP	JP	JP
U+4E0C	CN	CN#	_	CN	CN
U+4E0D	CN	CN	_	CN	CN
U+4E0E	_	JP#	_	CN	_
U+4E0F	_	JP#	_	CN	_
U+4E10	_	JP#	_	CN	_
U+4E11	_	JP	_	JP	JP
U+4E12	_	JP#	JP	JP#	JP#
U+4E13	CN	CN#	_	CN#	CN#
U+4E14	CN	CN	_	CN	CN
U+4E15	CN	CN	_	_	CN
U+4E16	_	JP	_	CN	CN
U+4E17	_	JP#	JP	JP#	JP#
U+4E18	_	JP	_	CN	CN
U+4E19	CN	CN	_	CN	CN
U+4E1A	CN	CN#	_	CN#	CN
U+4E1B	CN	CN#	_	CN#	CN#
U+4E1C	CN	CN#	_	CN#	CN
U+4E1D	CN	CN#	_	CN#	CN#
U+4E1E	_	JP	_	CN	CN
U+4E1F	_	JP	_	CN	CN
U+4E20	_	JP#	JP	JP#	JP#
U+4E21	_	JP#	_	CN#	CN
U+4E22	CN	CN#	_	CN#	CN#
U+4E23	_	JP#	JP	JP#	JP#
U+4E24	CN	CN#	_	CN#	CN
U+4E25	CN	CN#	_	CN#	CN#
U+4E26	_	JP	JP	JP	JP
U+4E27	CN	CN#	_	CN#	CN#
U+4E28	_	JP#	JP	JP#	JP
U+4E29	_	JP#	_	CN#	CN#
U+4E2A	_	JP#	_	CN#	CN
U+4E2B	_	CN	_	CN	CN
U+4E2C	CN	CN#	_	CN#	CN
U+4E2D	CN	CN	_	CN	CN
U+4E2E	_	JP#	JP	JP	JP
U+4E2F	_	JP#	JP	JP#	JP
U+4E30	CN	CN	_	_	TW
U+4E31	_	JP	_	CN	CN
U+4E32	CN	CN	_	CN	CN
U+4E33	_	JP#	JP	JP	JP
U+4E34	CN	CN#	_	CN#	CN#
U+4E35	_	JP#	_	CN#	CN#
U+4E36	_	JP#	JP	JP#	JP
U+4E37	_	JP#	JP	JP#	JP
U+4E38	_	JP	JP	_	TW
U+4E39	_	JP	JP	JP	JP
U+4E3A	CN	CN#	_	CN#	CN#
U+4E3B	CN	CN	_	CN	CN
U+4E3C	_	JP#	JP	JP	JP
U+4E3D	CN	CN#	_	_	TW
U+4E3E	CN	CN#	_	CN#	CN#
U+4E3F	_	JP#	JP	JP#	JP
U+4E40	_	JP#	JP	JP#	JP#
U+4E41	_	JP#	JP	JP#	JP#
U+4E42	_	JP	JP	JP	JP
U+4E43	_	JP	_	CN	CN
U+4E44	_	JP#	JP	JP#	JP#
U+4E45	CN	CN	_	CN	CN
U+4E46	CN	CN#	_	CN#	CN#
U+4E47	_	JP#	JP	JP	_
U+4E48	_	JP#	_	CN	CN
U+4E49	CN	CN#	_	CN#	CN
U+4E4A	CN	CN#	_	CN#	CN#
U+4E4B	_	JP	_	CN	CN
U+4E4C	CN	CN#	_	CN#	CN#
U+4E4D	CN	CN	_	CN	CN
U+4E4E	CN	CN	_	CN	CN
U+4E4F	_	JP	_	CN	CN
U+4E50	CN	CN#	_	CN#	CN#
U+4E51	_	JP#	JP	JP#	JP#
U+4E52	CN	CN#	_	CN	CN
U+4E53	CN	CN#	_	CN	CN
U+4E54	CN	CN#	_	CN#	CN#
U+4E55	_	JP#	JP	JP#	JP#
U+4E56	_	JP	_	_	TW
U+4E57	_	JP#	JP	JP#	JP#
U+4E58	CN	CN	_	_	TW
U+4E59	CN	CN	_	CN	CN
U+4E5A	_	JP#	JP	JP#	JP
U+4E5B	CN	CN#	_	CN#	CN
U+4E5C	CN	CN#	_	_	TW
U+4E5D	_	JP	JP	JP	JP
U+4E5E	CN	CN	_	CN	CN
U+4E5F	CN	CN	_	_	TW
U+4E60	CN	CN#	_	CN#	CN#
U+4E61	CN	CN#	_	CN#	CN#
U+4E62	_	JP#	JP	JP#	JP#
U+4E63	_	JP#	_	CN#	CN#
U+4E64	CN	CN#	_	CN#	CN#
U+4E65	CN	CN#	_	CN#	CN#
U+4E66	CN	CN#	_	CN#	CN#
U+4E67	CN	CN	_	CN#	CN#
U+4E68	_	JP#	_	CN#	CN#
U+4E69	CN	CN#	_	CN	CN
U+4E6A	_	JP#	JP	JP#	JP
U+4E6B	CN	CN	_	CN#	CN#
U+4E6C	KR	_	_	KR#	KR#
U+4E6D	CN	CN	_	CN#	CN#
U+4E6E	CN	CN#	_	CN#	CN#
U+4E6F	CN	CN#	_	CN#	CN#
U+4E70	CN	CN#	_	CN#	CN#
U+4E71	CN	CN#	_	CN#	CN#
U+4E72	CN	CN#	_	CN#	CN#
U+4E73	_	_ (uni4E73uE0101-JP)	_	CN	CN
U+4E74	_	JP#	JP	JP#	JP#
U+4E75	_	JP#	_	CN#	CN#
U+4E76	KR	_	_	CN#	CN#
U+4E77	KR	_	KR	KR#	KR#
U+4E78	CN	CN#	_	HK#	_
U+4E79	_	JP#	JP	JP#	JP#
U+4E7A	CN	CN#	_	CN#	CN#
U+4E7B	CN	CN#	_	CN#	CN#
U+4E7C	CN	CN	_	CN#	CN#
U+4E7D	CN	CN#	_	CN#	CN#
U+4E7E	_	JP	JP	JP	JP
U+4E7F	_	JP#	_	_	TW
U+4E80	_	JP#	JP	JP#	JP
U+4E81	_	JP#	JP	JP#	JP
U+4E82	_	JP	_	CN	CN
U+4E83	CN	CN#	_	_	_
U+4E84	CN	CN#	_	CN	CN
U+4E85	_	JP#	JP	JP#	JP
U+4E86	_	JP	_	CN	CN
U+4E87	CN	CN#	_	HK#	_
U+4E88	CN	CN	_	CN	CN
U+4E89	_	JP#	_	CN#	CN
U+4E8A	_	JP#	JP	JP#	JP#
U+4E8B	CN	CN	_	CN	CN
U+4E8C	CN	CN	_	CN	CN
U+4E8D	CN	CN#	_	CN	CN
U+4E8E	CN	CN	_	CN	CN
U+4E8F	_	JP	_	CN#	CN#
U+4E90	KR	_	KR	KR#	KR#
U+4E91	_	JP	_	CN	CN
U+4E92	_	JP	_	CN	CN
U+4E93	CN	CN#	_	CN	CN
U+4E94	_	JP	_	CN	JP
U+4E95	CN	CN	_	CN	CN
U+4E96	_	JP#	JP	JP#	JP#
U+4E97	_	JP#	JP	JP#	JP#
U+4E98	_	JP	JP	JP#	JP
U+4E99	_	JP	JP	JP	_
U+4E9A	CN	CN#	_	CN#	CN
U+4E9B	CN	CN	_	_	CN
U+4E9C	_	JP#	JP	JP#	JP#
U+4E9D	_	JP#	_	CN#	CN#
U+4E9E	_	JP	_	CN	CN
U+4E9F	_	JP	_	_	TW
U+4EA0	_	JP#	_	CN	CN
U+4EA1	_	JP	_	_	TW
U+4EA2	_	JP	_	CN	CN
U+4EA3	CN	CN#	_	CN#	CN
U+4EA4	_	JP	_	CN	CN
U+4EA5	_	JP	_	CN	CN
U+4EA6	_	JP	_	CN	_
U+4EA7	CN	CN#	_	CN#	CN#
U+4EA8	_	JP	_	CN	CN
U+4EA9	CN	CN#	_	CN#	CN#
U+4EAA	CN	CN#	_	CN#	CN#
U+4EAB	_	JP	_	CN	CN
U+4EAC	_	JP	_	CN	CN
U+4EAD	_	JP	_	CN	CN
U+4EAE	_	JP	_	_	TW
U+4EAF	_	JP#	_	CN#	CN#
U+4EB0	_	JP#	_	CN#	CN#
U+4EB1	CN	CN#	_	CN#	CN#
U+4EB2	_	JP#	_	JP#	JP#
U+4EB3	_	JP	_	CN	_
U+4EB4	_	JP	_	CN#	CN#
U+4EB5	CN	CN#	_	CN#	CN#
U+4EB6	_	JP	_	CN	CN
U+4EB7	CN	CN#	_	CN#	CN
U+4EB8	CN	CN#	_	CN#	CN#
U+4EB9	_	JP	_	_	TW
U+4EBA	_	JP	_	CN	CN
U+4EBB	CN	CN#	_	CN#	CN
U+4EBC	_	JP#	_	CN#	CN
U+4EBD	CN	CN#	_	CN#	CN#
U+4EBE	CN	CN#	_	CN#	CN#
U+4EBF	CN	CN#	_	CN#	CN
U+4EC0	CN	CN	_	CN	CN
U+4EC1	CN	CN	_	CN	CN
U+4EC2	CN	CN#	_	CN	CN
U+4EC3	CN	CN#	_	CN	CN
U+4EC4	_	JP	_	CN	CN
U+4EC5	CN	CN#	_	CN#	CN#
U+4EC6	_	JP	_	CN	CN
U+4EC7	CN	CN	_	CN	CN
U+4EC8	_	JP#	_	_	CN
U+4EC9	CN	CN#	_	CN	CN
U+4ECA	_	JP	_	_	TW
U+4ECB	_	JP	_	CN	CN
U+4ECC	CN	CN#	_	CN#	CN#
U+4ECD	_	JP	_	CN	CN
U+4ECE	_	JP#	_	CN#	CN
U+4ECF	_	JP#	_	CN#	CN#
U+4ED0	_	JP#	JP	JP#	JP#
U+4ED1	CN	CN#	_	CN#	CN#
U+4ED2	CN	CN#	_	CN#	CN#
U+4ED3	CN	CN#	_	CN#	CN#
U+4ED4	_	JP	_	CN	CN
U+4ED5	CN	CN	_	CN	CN
U+4ED6	CN	CN	_	_	TW
U+4ED7	CN	CN	_	CN	CN
U+4ED8	CN	CN	_	CN	CN
U+4ED9	_	JP	_	CN	CN
U+4EDA	_	JP#	_	CN	CN
U+4EDB	_	JP#	JP	JP#	JP#
U+4EDC	_	JP#	JP	JP	JP
U+4EDD	_	JP	_	CN	CN
U+4EDE	CN	CN	_	_	TW
U+4EDF	CN	CN	_	CN	CN
U+4EE0	_	JP#	JP	JP#	JP#
U+4EE1	CN	CN	_	CN	CN
U+4EE2	_	JP#	JP	JP#	JP#
U+4EE3	CN	CN	_	CN	CN
U+4EE4	_	JP	_	_	TW
U+4EE5	_	JP	_	JP	JP
U+4EE6	_	JP#	JP	JP#	JP#
U+4EE7	CN	CN#	_	CN#	CN#
U+4EE8	CN	CN#	_	CN	CN
U+4EE9	CN	CN#	_	CN	CN
U+4EEA	CN	CN#	_	CN#	CN
U+4EEB	_	JP#	_	CN#	CN
U+4EEC	CN	CN#	_	CN#	CN#
U+4EED	_	JP#	JP	JP#	JP#
U+4EEE	_	JP	_	JP#	CN
U+4EEF	_	JP#	_	CN#	CN#
U+4EF0	_	JP	_	CN	CN
U+4EF1	_	JP#	_	_	TW
U+4EF2	CN	CN	_	CN	CN
U+4EF3	_	JP	_	_	TW
U+4EF4	_	JP#	JP	JP	JP
U+4EF5	CN	CN	_	CN	CN
U+4EF6	CN	CN	_	CN	CN
U+4EF7	_	JP	_	CN	CN
U+4EF8	_	JP#	JP	JP#	JP
U+4EF9	_	JP#	JP	JP#	JP#
U+4EFA	CN	CN#	_	CN#	CN#
U+4EFB	CN	CN	_	_	TW
U+4EFC	_	JP#	JP	JP#	JP#
U+4EFD	_	JP#	_	_	CN
U+4EFE	_	JP#	JP	JP#	JP#
U+4EFF	_	JP	_	CN	CN
U+4F00	_	JP	_	_	CN
U+4F01	_	JP	_	CN	CN
U+4F02	_	JP#	JP	JP	JP
U+4F03	_	JP#	JP	JP#	JP
U+4F04	CN	CN#	_	CN	CN
U+4F05	CN	CN#	_	CN	CN
U+4F06	_	JP#	JP	JP#	JP#
U+4F07	CN	CN#	_	CN#	CN#
U+4F08	_	JP#	JP	JP	JP
U+4F09	_	JP	_	CN	CN
U+4F0A	CN	CN	_	CN	CN
U+4F0B	_	JP	_	JP	CN
U+4F0C	_	JP#	JP	JP#	JP#
U+4F0D	_	JP	_	JP	JP
U+4F0E	_	JP	_	CN	CN
U+4F0F	CN	CN	_	CN	CN
U+4F10	CN	CN	_	CN	CN
U+4F11	CN	CN	_	CN	CN
U+4F12	_	JP#	_	CN	CN
U+4F13	_	JP#	JP	JP	JP
U+4F14	CN	CN#	_	CN	CN
U+4F15	_	JP#	JP	JP	JP
U+4F16	_	JP#	JP	JP#	JP#
U+4F17	_	JP#	_	CN#	CN
U+4F18	CN	CN#	_	CN	CN
U+4F19	_	JP#	_	_	TW
U+4F1A	_	JP#	_	CN#	CN
U+4F1B	CN	CN#	_	CN#	CN#
U+4F1C	_	JP#	JP	JP#	JP#
U+4F1D	_	JP#	_	CN	CN
U+4F1E	CN	CN#	_	CN#	CN#
U+4F1F	CN	CN#	_	CN#	CN#
U+4F20	CN	CN#	_	CN#	CN#
U+4F21	CN	CN#	_	CN#	CN#
U+4F22	CN	CN#	_	CN	_
U+4F23	CN	CN#	_	CN#	CN#
U+4F24	CN	CN#	_	CN#	CN#
U+4F25	CN	CN#	_	CN#	CN#
U+4F26	CN	CN#	_	CN#	CN#
U+4F27	CN	CN#	_	CN#	CN#
U+4F28	CN	CN#	_	HK#	_
U+4F29	CN	CN#	_	CN#	CN
U+4F2A	CN	CN#	_	CN#	CN#
U+4F2B	_	JP#	_	CN#	CN#
U+4F2C	CN	CN#	_	HK	_
U+4F2D	CN	CN#	_	CN	CN
U+4F2E	_	JP#	JP	JP#	JP#
U+4F2F	CN	CN	_	CN	CN
U+4F30	CN	CN	_	CN	CN
U+4F31	_	JP#	JP	JP#	JP#
U+4F32	CN	CN#	_	CN#	CN
U+4F33	_	JP#	_	CN	CN
U+4F34	_	_ (uni4F34uE0101-JP)	JP	JP	JP
U+4F35	_	JP#	JP	JP#	JP#
U+4F36	_	JP	_	_	TW
U+4F37	_	JP#	JP	JP#	JP
U+4F38	_	JP	JP	JP	JP
U+4F39	_	JP#	JP	JP#	JP
U+4F3A	CN	CN	_	CN	CN
U+4F3B	_	JP#	_	CN	CN
U+4F3C	_	JP	_	JP	JP
U+4F3D	CN	CN	_	CN	CN
U+4F3E	_	JP#	JP	_	JP
U+4F3F	_	JP#	JP	JP	JP
U+4F40	_	JP#	JP	JP#	JP#
U+4F41	CN	CN#	_	CN	CN
U+4F42	_	JP	JP	JP#	JP
U+4F43	CN	CN	_	CN	CN
U+4F44	_	JP#	JP	JP#	JP#
U+4F45	_	JP#	JP	JP#	JP
U+4F46	CN	CN	_	CN	CN
U+4F47	_	JP	_	CN	CN
U+4F48	_	JP	JP	JP	JP
U+4F49	_	JP	_	CN	CN
U+4F4A	_	JP#	JP	JP#	JP#
U+4F4B	_	JP	JP	JP#	JP
U+4F4C	_	JP#	JP	_	JP
U+4F4D	_	JP	_	CN	CN
U+4F4E	_	JP	_	_	TW
U+4F4F	_	JP	_	CN	CN
U+4F50	_	JP	JP	JP	JP
U+4F51	CN	CN	_	CN	CN
U+4F52	_	JP#	JP	_	TW
U+4F53	CN	CN	_	CN	CN
U+4F54	_	JP	JP	JP	JP
U+4F55	CN	CN	_	CN	CN
U+4F56	_	JP	JP	JP	JP
U+4F57	_	JP	_	CN	CN
U+4F58	_	JP#	_	_	CN
U+4F59	_	JP	_	CN	CN
U+4F5A	CN	CN	_	CN	CN
U+4F5B	_	JP	_	CN	CN
U+4F5C	CN	CN	_	CN	CN
U+4F5D	CN	CN	_	CN	CN
U+4F5E	_	JP	_	_	TW
U+4F5F	_	JP	_	CN	CN
U+4F60	CN	CN#	_	CN	CN
U+4F61	CN	CN#	_	CN	CN
U+4F62	CN	CN#	_	_	TW
U+4F63	CN	CN#	_	CN	_
U+4F64	_	JP#	_	_	TW
U+4F65	CN	CN#	_	CN#	CN#
U+4F66	CN	CN#	_	CN#	CN#
U+4F67	CN	CN#	_	CN	CN
U+4F68	CN	CN#	_	CN#	CN#
U+4F69	CN	CN	_	CN	CN
U+4F6A	_	JP	JP	JP	JP
U+4F6B	_	JP#	JP	JP	JP
U+4F6C	CN	CN#	_	_	CN
U+4F6D	CN	CN#	_	CN#	CN#
U+4F6E	_	JP#	_	CN	CN
U+4F6F	_	JP	_	CN	CN
U+4F70	CN	CN	_	CN	CN
U+4F71	_	JP#	JP	JP#	JP#
U+4F72	CN	CN#	_	HK#	_
U+4F73	CN	CN	_	CN	CN
U+4F74	CN	CN#	_	_	TW
U+4F75	_	JP#	JP	JP	JP
U+4F76	CN	CN	_	CN	CN
U+4F77	_	JP#	_	CN	CN
U+4F78	_	JP	JP	JP	JP
U+4F79	_	JP	JP	JP	JP
U+4F7A	_	JP	_	_	TW
U+4F7B	CN	CN	_	CN	CN
U+4F7C	_	JP	_	CN	CN
U+4F7D	_	JP	_	_	CN
U+4F7E	_	JP	_	_	CN
U+4F7F	CN	CN	_	CN	CN
U+4F80	_	JP#	JP	JP	JP
U+4F81	_	JP	JP	JP	JP
U+4F82	_	JP#	_	_	TW
U+4F83	CN	CN	_	_	CN
U+4F84	_	JP	_	CN	CN
U+4F85	_	JP#	_	CN	CN
U+4F86	_	JP	JP	JP	JP
U+4F87	CN	CN#	_	CN	CN
U+4F88	_	JP	_	JP	JP
U+4F89	_	JP	_	CN	CN
U+4F8A	_	JP	JP	JP#	JP
U+4F8B	_	JP	_	JP	JP
U+4F8C	_	JP#	_	CN#	CN#
U+4F8D	CN	CN	_	_	CN
U+4F8E	_	JP#	JP	JP#	JP#
U+4F8F	CN	CN	_	CN	CN
U+4F90	_	JP#	JP	JP	JP
U+4F91	CN	CN	_	_	CN
U+4F92	_	JP#	_	_	TW
U+4F93	_	JP#	JP	JP#	JP#
U+4F94	_	JP	_	CN	CN
U+4F95	_	JP#	JP	JP	JP
U+4F96	_	JP	_	CN	CN
U+4F97	CN	CN	_	CN	CN
U+4F98	_	JP	_	_	TW
U+4F99	_	JP#	JP	JP#	JP#
U+4F9A	_	JP	JP	JP	JP
U+4F9B	CN	CN	_	CN	CN
U+4F9C	_	JP	_	CN	CN
U+4F9D	_	JP	_	CN	CN
U+4F9E	_	JP#	_	_	TW
U+4F9F	_	JP#	_	CN#	CN#
U+4FA0	CN	CN#	_	CN#	CN#
U+4FA1	_	JP#	JP	JP#	JP#
U+4FA2	CN	CN#	_	CN#	CN
U+4FA3	CN	CN#	_	CN#	CN#
U+4FA4	CN	CN#	_	CN#	CN#
U+4FA5	CN	CN#	_	CN#	CN#
U+4FA6	CN	CN#	_	CN#	CN#
U+4FA7	CN	CN#	_	CN#	CN#
U+4FA8	CN	CN#	_	CN#	CN
U+4FA9	CN	CN#	_	CN#	CN#
U+4FAA	CN	CN#	_	CN#	CN#
U+4FAB	_	JP#	_	HK#	_
U+4FAC	CN	CN#	_	CN#	CN#
U+4FAD	CN	CN#	_	CN#	CN#
U+4FAE	_	_ (uniFA30-JP)	_	CN	CN
U+4FAF	_	JP	_	_	TW
U+4FB0	_	JP#	JP	JP#	JP
U+4FB1	CN	CN#	_	CN#	CN#
U+4FB2	_	JP	_	CN	_
U+4FB3	_	JP#	JP	JP	JP
U+4FB4	CN	CN#	_	HK#	_
U+4FB5	_	_ (uni4FB5uE0101-JP)	_	_ (uni4FB5uE0101-JP)	_ (uni4FB5uE0101-JP)
U+4FB6	_	JP	JP	JP	JP
U+4FB7	_	JP#	JP	JP	JP
U+4FB8	CN	CN#	_	CN#	CN#
U+4FB9	_	JP#	_	_	TW
U+4FBA	CN	CN#	_	_	TW
U+4FBB	_	JP	_	_	CN
U+4FBC	_	JP#	_	CN#	CN#
U+4FBD	_	JP#	JP	JP#	JP
U+4FBE	_	JP#	JP	JP#	JP#
U+4FBF	CN	CN	_	CN	CN
U+4FC0	_	JP#	_	_	TW
U+4FC1	_	JP	_	_	TW
U+4FC2	_	JP	_	_	TW
U+4FC3	CN	CN	_	CN	CN
U+4FC4	CN	CN	_	CN	CN
U+4FC5	_	JP	_	CN	JP
U+4FC6	_	JP#	_	CN#	CN#
U+4FC7	_	JP#	JP	JP	JP
U+4FC8	_	JP#	_	CN#	_
U+4FC9	_	JP	JP	JP	JP
U+4FCA	_	JP	_	_	_
U+4FCB	_	JP#	JP	JP	JP
U+4FCC	_	JP	JP	JP#	JP
U+4FCD	_	JP#	_	CN	CN
U+4FCE	CN	CN	_	CN	CN
U+4FCF	_	JP	_	_	CN
U+4FD0	CN	CN	_	CN	CN
U+4FD1	CN	CN	_	CN	CN
U+4FD2	_	JP#	_	CN#	CN#
U+4FD3	_	JP	JP	JP	JP
U+4FD4	_	JP	JP	JP	JP
U+4FD5	CN	CN#	_	CN#	CN#
U+4FD6	TW	TW#	TW	_	TW
U+4FD7	_	JP	_	CN	CN
U+4FD8	_	JP	_	CN	CN
U+4FD9	_	JP#	JP	JP	JP
U+4FDA	CN	CN	_	CN	CN
U+4FDB	_	JP	JP	JP	JP
U+4FDC	_	JP#	_	CN	CN
U+4FDD	CN	CN	_	_	CN
U+4FDE	_	JP#	_	_	CN
U+4FDF	_	JP	_	_	TW
U+4FE0	_	JP	JP	JP	JP
U+4FE1	_	JP	_	CN	CN
U+4FE2	_	JP#	JP	JP#	JP#
U+4FE3	CN	CN	_	CN#	CN#
U+4FE4	_	JP#	_	CN#	CN
U+4FE5	_	JP#	JP	JP#	JP
U+4FE6	_	JP#	_	CN#	CN#
U+4FE7	CN	CN#	_	CN#	CN#
U+4FE8	CN	CN#	_	CN#	CN#
U+4FE9	CN	CN#	_	CN#	CN#
U+4FEA	CN	CN#	_	CN#	CN#
U+4FEB	CN	CN#	_	CN#	CN#
U+4FEC	CN	CN#	_	CN	CN
U+4FED	CN	CN#	_	CN#	CN#
U+4FEE	_	JP	_	JP	JP
U+4FEF	_	JP	_	CN	CN
U+4FF0	_	JP	JP	JP#	JP
U+4FF1	CN	CN	_	CN	CN
U+4FF2	_	JP#	_	CN#	CN
U+4FF3	_	JP	_	JP	JP
U+4FF4	_	JP	JP	JP	JP
U+4FF5	_	JP	_	CN	CN
U+4FF6	_	JP	JP	JP	JP
U+4FF7	TW	TW#	TW	_	TW
U+4FF8	_	JP	_	CN	CN
U+4FF9	_	JP#	JP	JP#	JP
U+4FFA	_	JP	_	_	CN
U+4FFB	_	JP#	JP	JP#	JP#
U+4FFC	_	JP#	_	CN#	CN#
U+4FFD	_	JP#	_	CN#	CN
U+4FFE	_	JP	JP	JP	JP
U+4FFF	_	JP#	_	JP#	JP#
U+5000	_	JP	_	CN	CN
U+5001	_	JP#	JP	JP#	JP#
U+5002	_	_	JP	JP#	JP#
U+5003	_	JP#	_	JP#	JP
U+5004	_	JP#	JP	JP#	JP#
U+5005	_	JP	_	CN	CN
U+5006	_	JP	_	JP	JP
U+5007	_	JP#	_	_	TW
U+5008	_	JP#	JP	JP#	JP
U+5009	_	JP	_	_	TW
U+500A	_	JP#	_	CN#	CN#
U+500B	_	JP	JP	JP	JP
U+500C	_	JP#	_	CN	CN
U+500D	_	JP	_	CN	CN
U+500E	_	JP#	JP	JP	JP
U+500F	_	JP	_	_	TW
U+5010	_	JP#	JP	JP#	JP#
U+5011	_	JP	JP	JP	JP
U+5012	_	JP	_	CN	CN
U+5013	_	JP#	JP	_	TW
U+5014	_	JP	_	CN	CN
U+5015	CN	CN#	_	_	TW
U+5016	_	JP	_	CN	CN
U+5017	_	JP#	_	CN	CN
U+5018	_	JP	_	CN	CN
U+5019	_	JP	_	_	TW
U+501A	CN	CN	_	CN	CN
U+501B	_	JP#	JP	JP	JP
U+501C	_	CN	_	_	_
U+501D	_	JP#	JP	JP#	JP#
U+501E	_	JP	_	CN	CN
U+501F	_	JP	JP	JP	JP
U+5020	CN	CN#	_	CN	CN
U+5021	CN	CN	_	CN	_
U+5022	_	JP	JP	JP	JP
U+5023	_	JP	_	CN	CN
