# KR
4E0D FE00; Standardized_Variants; CID+9846
4E32 FE00; Standardized_Variants; CID+9902
4E39 FE00; Standardized_Variants; CID+9912
4E82 FE00; Standardized_Variants; CID+10020
4E86 FE00; Standardized_Variants; CID+10026
4EAE FE00; Standardized_Variants; CID+10092
4EC0 FE00; Standardized_Variants; CID+10122
4EE4 FE00; Standardized_Variants; CID+10176
4F86 FE00; Standardized_Variants; CID+10421
4F8B FE00; Standardized_Variants; CID+10429
4FBF FE00; Standardized_Variants; CID+10513
502B FE00; Standardized_Variants; CID+10700
50DA FE00; Standardized_Variants; CID+11020
5169 FE00; Standardized_Variants; CID+11277
516D FE00; Standardized_Variants; CID+11288
51B7 FE00; Standardized_Variants; CID+11398
51C9 FE00; Standardized_Variants; CID+11434
51CC FE00; Standardized_Variants; CID+11442
51DC FE00; Standardized_Variants; CID+11473
5207 FE00; Standardized_Variants; CID+11542
5217 FE00; Standardized_Variants; CID+11560
5229 FE00; Standardized_Variants; CID+11587
523A FE00; Standardized_Variants; CID+11613
5289 FE00; Standardized_Variants; CID+11743
529B FE00; Standardized_Variants; CID+11778
52A3 FE00; Standardized_Variants; CID+11787
52D2 FE00; Standardized_Variants; CID+11863
52DE FE00; Standardized_Variants; CID+11881
52F5 FE00; Standardized_Variants; CID+11920
5317 FE00; Standardized_Variants; CID+11980
533F FE00; Standardized_Variants; CID+12065
5375 FE00; Standardized_Variants; CID+12147
53C3 FE00; Standardized_Variants; CID+12269
53E5 FE00; Standardized_Variants; CID+12323
540F FE00; Standardized_Variants; CID+12384
541D FE00; Standardized_Variants; CID+12403
5442 FE00; Standardized_Variants; CID+12473
54BD FE00; Standardized_Variants; CID+12656
5587 FE00; Standardized_Variants; CID+12968
56F9 FE00; Standardized_Variants; CID+13628
585E FE00; Standardized_Variants; CID+14192
58D8 FE00; Standardized_Variants; CID+14401
58DF FE00; Standardized_Variants; CID+14416
5948 FE00; Standardized_Variants; CID+14589
5951 FE00; Standardized_Variants; CID+58810
5973 FE00; Standardized_Variants; CID+14669
5B85 FE00; Standardized_Variants; CID+15891
5BE7 FE00; Standardized_Variants; CID+16093
5BE7 FE01; Standardized_Variants; CID+16093
5BEE FE00; Standardized_Variants; CID+16110
5C3F FE00; Standardized_Variants; CID+16246
5C62 FE00; Standardized_Variants; CID+16304
5C65 FE00; Standardized_Variants; CID+16310
5D19 FE00; Standardized_Variants; CID+16655
5D50 FE00; Standardized_Variants; CID+16768
5DBA FE00; Standardized_Variants; CID+16984
5E74 FE00; Standardized_Variants; CID+17283
5EA6 FE00; Standardized_Variants; CID+17373
5EC9 FE00; Standardized_Variants; CID+58820
5ECA FE00; Standardized_Variants; CID+62145
5ED3 FE00; Standardized_Variants; CID+17463
5EEC FE00; Standardized_Variants; CID+17517
5F04 FE00; Standardized_Variants; CID+17562
5F8B FE00; Standardized_Variants; CID+17810
5FA9 FE00; Standardized_Variants; CID+17857
5FF5 FE00; Standardized_Variants; CID+17984
6012 FE00; Standardized_Variants; CID+18027
601C FE00; Standardized_Variants; CID+18041
60E1 FE00; Standardized_Variants; CID+18372
6144 FE00; Standardized_Variants; CID+18542
6190 FE00; Standardized_Variants; CID+18695
61F6 FE00; Standardized_Variants; CID+18880
6200 FE00; Standardized_Variants; CID+18902
622E FE00; Standardized_Variants; CID+18970
62C9 FE00; Standardized_Variants; CID+19223
62CF FE00; Standardized_Variants; CID+19233
62D3 FE00; Standardized_Variants; CID+19242
62FE FE00; Standardized_Variants; CID+19306
637B FE00; Standardized_Variants; CID+19501
63A0 FE00; Standardized_Variants; CID+19566
649A FE00; Standardized_Variants; CID+20003
64C4 FE00; Standardized_Variants; CID+20078
6578 FE00; Standardized_Variants; CID+20406
6599 FE00; Standardized_Variants; CID+20465
65C5 FE00; Standardized_Variants; CID+58817
6613 FE00; Standardized_Variants; CID+20690
6688 FE00; Standardized_Variants; CID+20870
66B4 FE00; Standardized_Variants; CID+20944
66C6 FE00; Standardized_Variants; CID+20975
66F4 FE00; Standardized_Variants; CID+21055
